INFO  - 2014-03-10 06:40:49.457; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-03-10 06:40:49.458; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-03-10 06:40:49.471; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-03-10 06:40:49.472; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-03-10 06:40:49.474; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-03-10 06:40:49.475; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-03-10 06:40:49.480; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@733ecf7d[collection1] main
INFO  - 2014-03-10 06:40:49.483; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-03-10 06:40:49.491; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-03-10 06:40:49.497; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-03-10 06:40:49.498; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2014-03-10 06:40:49.499; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-03-10 06:40:49.515; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-03-10 06:40:49.519; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Users/grantingersoll/projects/lucene/dev/solr-4.7.0/example/solr/collection1/conf/elevate.xml
INFO  - 2014-03-10 06:40:49.543; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2014-03-10 06:40:49.544; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@733ecf7d[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-03-10 06:40:49.544; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2014-03-10 06:40:49.546; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/example
INFO  - 2014-03-10 06:40:49.547; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2014-03-10 06:40:49.579; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2014-03-10 06:40:49.587; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=41 
INFO  - 2014-03-10 06:40:49.587; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2014-03-10 06:40:49.587; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2014-03-10 06:40:49.588; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2014-03-10 06:40:49.588; org.apache.solr.handler.component.SuggestComponent$SuggesterListener; Loading suggester index for: mySuggester
INFO  - 2014-03-10 06:40:49.588; org.apache.solr.spelling.suggest.SolrSuggester; reload()
INFO  - 2014-03-10 06:40:49.588; org.apache.solr.spelling.suggest.SolrSuggester; build()
INFO  - 2014-03-10 06:40:49.598; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@733ecf7d[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-03-10 06:40:52.082; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2014-03-10 06:40:52.082; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/example/solr-webapp/webapp/},/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/example/webapps/solr.war
INFO  - 2014-03-10 06:40:53.084; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=243939278
INFO  - 2014-03-10 06:40:53.085; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@63120157
